Start Time:  17-03-2025 11:31:17          Time Completed:  17-03-2025 12:21:31      Elapsed Time:  00:50:13
Sample ID:     

Experiment:    C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.exp
Data File:     C:\IDEASVSM\LS_QC\Patron_SP3.txt
Plot File:     C:\IDEASVSM\LS_QC\Patron_SP3.oc2
VSM Exp File:  C:\IDEASVSM\LS_QC\Experiments\MvsH_1\MvsH_1.stp
VSM Data File: C:\IDEASVSM\LS_QC\Patron_SP3.dat

***DATA***

Field(G)	 Moment(emu)	
 18693.9 	 0.132335 	
 18000 	 0.1333 	
 17000 	 0.131474 	
 16000 	 0.131588 	
 15000 	 0.130004 	
 14001.4 	 0.131947 	
 12999.5 	 0.13026 	
 12002 	 0.135347 	
 11002.3 	 0.133732 	
 9999.99 	 0.13395 	
 9000.02 	 0.134095 	
 8000 	 0.134154 	
 7000 	 0.131986 	
 5999.98 	 0.131892 	
 4999.99 	 0.131319 	
 4000 	 0.129914 	
 3000.3 	 0.127635 	
 1999.99 	 0.124542 	
 1000.01 	 0.114382 	
 950.003 	 0.11266 	
 899.991 	 0.110782 	
 850.004 	 0.108199 	
 799.991 	 0.110049 	
 749.993 	 0.110839 	
 700.007 	 0.109593 	
 649.994 	 0.107645 	
 599.99 	 0.105722 	
 549.996 	 0.103245 	
 499.994 	 0.104194 	
 449.995 	 0.101355 	
 399.999 	 0.0958782 	
 350.024 	 0.0922184 	
 299.997 	 0.0874178 	
 249.994 	 0.081771 	
 199.984 	 0.0745331 	
 190.007 	 0.0718925 	
 179.989 	 0.0706729 	
 170.006 	 0.0689305 	
 159.993 	 0.0671346 	
 149.995 	 0.0651985 	
 140 	 0.0631846 	
 130.011 	 0.0609421 	
 120 	 0.0588005 	
 109.998 	 0.0566639 	
 99.9993 	 0.0543166 	
 89.9995 	 0.0519845 	
 79.9971 	 0.0493119 	
 69.9904 	 0.046934 	
 59.9897 	 0.0444368 	
 49.9984 	 0.0418272 	
 39.9919 	 0.0391657 	
 30.0007 	 0.0364013 	
 19.9874 	 0.0335517 	
 18.0056 	 0.0326857 	
 16.0028 	 0.0318419 	
 13.9938 	 0.0310305 	
 11.9952 	 0.0301907 	
 9.99392 	 0.0293672 	
 7.99393 	 0.0285982 	
 5.99848 	 0.0278203 	
 4.00454 	 0.0270397 	
 1.9979 	 0.0262676 	
-0.0010658 	 0.0255148 	
-1.99915 	 0.0247797 	
-4.00154 	 0.0240386 	
-5.99957 	 0.023293 	
-7.99617 	 0.0225806 	
-10.0067 	 0.0218574 	
-12.0063 	 0.0211265 	
-14.0051 	 0.0203912 	
-16.0029 	 0.0196731 	
-17.9914 	 0.0180833 	
-20.0017 	 0.0174862 	
-29.9978 	 0.0145536 	
-40.0039 	 0.0112905 	
-49.9974 	 0.00781508 	
-59.9902 	 0.00383892 	
-69.9979 	-0.000121733 	
